# cluster-model prediction; not validated for the periodic solid.
# cluster: Nb3X8 downfolded interlayer dimer (2-orbital generalized Hubbard cluster)
# config: axis=field, cluster=Nb3X8 downfolded interlayer dimer (2-orbital generalized Hubbard cluster), config_hash=a2c4e73b9934b2daf8f162182e2197c1428b579b54947fd42280ba1969dd47b9, grid_max=10.0, grid_min=0.0, grid_step=0.5, halide=Cl, krylov_dim=12, output_dir=results/senseforge/Nb3Cl8_field, system=Nb3Cl8
x,gap,lower,upper,bracket_width,convergence
0.0,66.20464642934076,66.20464642934076,66.20464642934076,0.0,exact
0.5,66.14676261134099,66.14676261134099,66.14676261134099,0.0,exact
1.0,66.088878793341,66.088878793341,66.088878793341,0.0,exact
1.5,66.030994975341,66.030994975341,66.030994975341,0.0,exact
2.0,65.97311115734101,65.97311115734101,65.97311115734101,0.0,exact
2.5,65.91522733934096,65.91522733934096,65.91522733934096,0.0,exact
3.0,65.85734352134097,65.85734352134097,65.85734352134097,0.0,exact
3.5,65.79945970334097,65.79945970334097,65.79945970334097,0.0,exact
4.0,65.74157588534098,65.74157588534098,65.74157588534098,0.0,exact
4.5,65.68369206734098,65.68369206734098,65.68369206734098,0.0,exact
5.0,65.62580824934099,65.62580824934099,65.62580824934099,0.0,exact
5.5,65.567924431341,65.567924431341,65.567924431341,0.0,exact
6.0,65.510040613341,65.510040613341,65.510040613341,0.0,exact
6.5,65.45215679534095,65.45215679534095,65.45215679534095,0.0,exact
7.0,65.39427297734096,65.39427297734096,65.39427297734096,0.0,exact
7.5,65.33638915934097,65.33638915934097,65.33638915934097,0.0,exact
8.0,65.27850534134097,65.27850534134097,65.27850534134097,0.0,exact
8.5,65.22062152334098,65.22062152334098,65.22062152334098,0.0,exact
9.0,65.16273770534099,65.16273770534099,65.16273770534099,0.0,exact
9.5,65.104853887341,65.104853887341,65.104853887341,0.0,exact
10.0,65.046970069341,65.046970069341,65.046970069341,0.0,exact
